,bike_name,price,kms_driven,owner,age,power,brand
0,TVS Star City,35000,17654,First,3,110,TVS
1,Royal Enfield Classic,119900,11000,First,4,350,Royal Enfield
2,Triumph Daytona 675R,600000,110,First,8,675,Triumph
3,TVS Apache RTR,65000,16329,First,4,180,TVS
4,Yamaha FZ S,80000,10000,First,3,150,Yamaha
5,Yamaha FZs 150cc,53499,25000,First,6,150,Yamaha
6,Honda CB Hornet,85000,8200,First,3,160,Honda
7,Hero Splendor Plus,45000,12645,First,3,100,Hero
8,Royal Enfield Thunderbird,145000,9190,First,3,350,Royal Enfield
9,Royal Enfield Classic,88000,19000,Second,7,500,Royal Enfield
10,Yamaha YZF-R15 2.0,72000,20000,First,7,150,Yamaha
11,Yamaha FZ25 250cc,95000,9665,First,4,250,Yamaha
12,Bajaj Pulsar NS200,78000,9900,First,4,200,Bajaj
13,Bajaj Discover 100M,29499,20000,First,8,100,Bajaj
14,Bajaj Discover 125M,29900,20000,First,7,125,Bajaj
15,Bajaj Pulsar NS200,90000,11574,First,3,200,Bajaj
16,Bajaj Pulsar RS200,120000,23000,First,3,200,Bajaj
17,Suzuki Gixxer SF,48000,24725,First,5,150,Suzuki
18,Benelli 302R 300CC,240000,15025,Second,3,302,Benelli
19,Hero Splendor iSmart,46500,3500,First,2,110,Hero
20,Royal Enfield Classic,121700,24520,First,5,500,Royal Enfield
21,Yamaha FZ V,45000,23000,First,6,150,Yamaha
22,Hero Super Splendor,20000,29305,First,16,125,Hero
23,Honda CBF Stunner,20800,30500,Second,7,125,Honda
24,Bajaj Pulsar 150cc,50000,19000,First,8,150,Bajaj
25,Honda X-Blade 160CC,81200,9100,First,2,160,Honda
26,Bajaj Pulsar NS200,88000,21914,First,3,200,Bajaj
27,Yamaha YZF-R15 2.0,80000,20000,Second,4,150,Yamaha
28,Bajaj Avenger 220cc,40900,15000,First,6,220,Bajaj
29,KTM RC 390cc,180000,17700,First,4,390,KTM
30,Honda CB Unicorn,40000,30000,First,8,150,Honda
31,KTM Duke 200cc,70000,100000,Second,8,200,KTM
32,Royal Enfield Classic,98800,39000,First,5,350,Royal Enfield
33,Honda CBR 150R,65000,43000,First,6,150,Honda
34,Royal Enfield Thunderbird,190500,4550,First,2,500,Royal Enfield
35,KTM RC 200cc,179000,3400,First,2,200,KTM
36,Royal Enfield Thunderbird,70000,45000,First,8,350,Royal Enfield
37,Bajaj Avenger 220cc,45000,36100,First,6,220,Bajaj
38,Royal Enfield Bullet,78000,8500,First,13,350,Royal Enfield
39,Bajaj Avenger Street,110000,2550,First,2,220,Bajaj
40,Royal Enfield Classic,85000,18000,First,6,350,Royal Enfield
41,Bajaj Pulsar NS200,38000,35000,First,9,200,Bajaj
42,Royal Enfield Thunderbird,55346,38000,First,10,350,Royal Enfield
43,Mahindra Centuro NXT,28000,45000,First,2,110,Mahindra
44,Hero Hunk 150cc,37000,10800,First,8,150,Hero
45,Suzuki Gixxer SF,97000,4400,First,3,150,Suzuki
46,Yamaha FZ 150cc,40000,357000,First,8,150,Yamaha
47,Royal Enfield‎ Bullet,90000,15300,First,7,350,Royal Enfield
48,TVS Apache RTR,60000,30000,First,5,160,TVS
49,Honda CB Shine,21900,30000,Second,7,125,Honda
50,Bajaj Avenger 220cc,40000,64000,First,7,220,Bajaj
51,Benelli TNT 600i,475000,11500,Second,3,600,Benelli
52,Honda Dream Yuga,34500,17056,First,5,110,Honda
53,Yamaha SZ 150cc,25000,172082,First,9,150,Yamaha
54,Suzuki Gixxer 150cc,30200,45000,First,7,150,Suzuki
55,Bajaj Avenger Cruise,65000,35000,First,5,220,Bajaj
56,Bajaj Pulsar 150cc,25000,38000,First,9,150,Bajaj
57,Kawasaki Z900,935000,2500,First,2,900,Kawasaki
58,Royal Enfield Bullet,107100,15438,Second,3,350,Royal Enfield
59,Bajaj Pulsar 220cc,80000,6000,First,3,220,Bajaj
60,Royal Enfield Thunderbird,88000,19000,First,5,350,Royal Enfield
61,KTM Duke 200cc,94700,32700,First,4,200,KTM
62,Hero CD Deluxe,12200,46643,First,14,100,Hero
63,Royal Enfield Classic,106000,19000,First,6,350,Royal Enfield
64,Bajaj Pulsar 220cc,29500,40700,First,12,220,Bajaj
65,Kawasaki Ninja 650cc,290000,11350,First,7,650,Kawasaki
66,Royal Enfield Thunderbird,110000,1600,First,6,350,Royal Enfield
67,Bajaj Platina 125cc,27000,44410,First,10,125,Bajaj
68,Royal Enfield Thunderbird,65000,9800,First,11,350,Royal Enfield
69,Royal Enfield Thunderbird,150000,15000,First,3,350,Royal Enfield
70,Hero Karizma ZMR,55786,68000,Second,7,223,Hero
71,Bajaj Pulsar 180cc,45000,17757,First,8,180,Bajaj
72,Yamaha FZ25 ABS,146000,3900,First,2,250,Yamaha
73,Royal Enfield Thunderbird,115000,23700,First,4,350,Royal Enfield
74,Bajaj CT 100,30000,8250,First,3,100,Bajaj
75,Bajaj Pulsar RS200,93100,10000,First,5,200,Bajaj
76,Yamaha YZF-R15 2.0,82000,4300,Second,3,150,Yamaha
77,Royal Enfield Interceptor,260000,3800,First,2,650,Royal Enfield
78,Honda CB Shine,38000,33000,First,7,125,Honda
79,KTM Duke 250cc,130000,17500,Second,4,250,KTM
80,Royal Enfield Himalayan,118000,19000,First,4,410,Royal Enfield
81,Bajaj Pulsar 135LS,14700,10000,First,11,135,Bajaj
82,Royal Enfield Thunderbird,85000,54000,First,6,350,Royal Enfield
83,Bajaj Pulsar 220F,40000,27000,First,7,220,Bajaj
84,Yamaha FZ16 150cc,50000,19000,First,6,150,Yamaha
85,Royal Enfield Thunderbird,71800,43500,First,7,350,Royal Enfield
86,Bajaj Pulsar NS200,75000,11575,First,4,200,Bajaj
87,Ducati Scrambler 1100,1350000,190,First,1,1100,Ducati
88,Triumph Street Triple,790000,19000,First,3,765,Triumph
89,Bajaj V15 150cc,47000,8600,First,4,150,Bajaj
90,Bajaj Pulsar 150cc,60000,2000,First,2,150,Bajaj
91,Suzuki Gixxer Fi,96700,5100,First,1,150,Suzuki
92,Hero Splendor plus,31900,9000,First,5,100,Hero
93,Bajaj Pulsar 150cc,35000,44480,First,13,150,Bajaj
94,KTM Duke 390cc,240000,11000,First,3,390,KTM
95,Honda CBR 250R,68000,16000,First,7,250,Honda
96,Bajaj Pulsar RS200,80000,26691,First,5,200,Bajaj
97,Royal Enfield Classic,135000,45000,First,5,350,Royal Enfield
98,Bajaj Pulsar 150cc,11100,12000,Third,12,150,Bajaj
99,Benelli TNT 600i,480000,14200,First,4,600,Benelli
100,Suzuki Gixxer 150cc,65000,41000,First,3,150,Suzuki
101,Yamaha FZ S,60000,15000,First,5,150,Yamaha
102,Honda CBR 150R,80000,12314,First,4,150,Honda
103,Hero Splendor Plus,46000,11760,First,3,100,Hero
104,Royal Enfield Classic,95000,22000,First,11,500,Royal Enfield
105,Hyosung GT650R,400000,1800,First,4,650,Hyosung
106,Bajaj V15 150cc,55000,4400,First,4,150,Bajaj
107,Yamaha YZF-R15 S,63000,16000,First,5,150,Yamaha
108,Bajaj V15 150cc,51000,9000,First,4,150,Bajaj
109,TVS Apache RTR,69900,8700,First,3,160,TVS
110,Bajaj Pulsar RS200,125000,1342,First,4,200,Bajaj
111,Benelli TNT 300,210000,21000,First,6,300,Benelli
112,Honda CB ShineSP,35900,19000,First,5,125,Honda
113,Honda CBR 250R,67000,13000,First,9,250,Honda
114,Hero Passion Pro,29339,12771,First,4,100,Hero
115,Hero Splendor Plus,19695,51576,First,6,100,Hero
116,Hero Splendor iSmart,48672,608,First,2,110,Hero
117,Honda CBR 150R,40000,13680,First,9,150,Honda
118,Yamaha YZF R6,500000,285,First,5,600,Yamaha
119,Ducati 1299 Superleggera,800000,3,First,3,1299,Ducati
120,Royal Enfield Himalayan,110000,24676,First,5,410,Royal Enfield
121,Royal Enfield Classic,92500,11000,First,6,350,Royal Enfield
122,Bajaj Pulsar NS200,57000,28948,First,5,200,Bajaj
123,Royal Enfield Electra,72500,10000,First,10,350,Royal Enfield
124,KTM Duke 200cc,68000,16000,First,9,200,KTM
125,TVS Phoenix Disc,21500,10500,First,5,125,TVS
126,TVS Apache RTR,40000,20000,First,6,160,TVS
127,Royal Enfield Classic,91000,18000,First,5,350,Royal Enfield
128,Harley-Davidson Street 750,300000,3500,First,6,750,Harley-Davidson
129,Suzuki Gixxer SF,47000,70000,First,6,150,Suzuki
130,Suzuki Gixxer 150cc,53000,18158,First,6,150,Suzuki
131,Suzuki Gixxer 150cc,51000,39140,First,5,150,Suzuki
132,Bajaj Pulsar 220F,48000,27776,First,8,220,Bajaj
133,Bajaj Pulsar 220cc,55000,32734,First,6,220,Bajaj
134,Royal Enfield Himalayan,173300,14000,First,2,410,Royal Enfield
135,Royal Enfield Bullet,77000,13000,First,8,350,Royal Enfield
136,Bajaj Pulsar NS200,115000,5000,First,2,200,Bajaj
137,Bajaj Discover 150cc,36000,39500,First,7,150,Bajaj
138,Bajaj Avenger Street,72000,29500,First,4,220,Bajaj
139,Royal Enfield Standard,115000,14900,First,3,350,Royal Enfield
140,Honda CB Shine,65000,2000,First,3,125,Honda
141,Honda CB Unicorn,99000,4000,First,2,150,Honda
142,Yamaha YZF-R15 2.0,68500,68500,Second,7,150,Yamaha
143,Yamaha YZF-R15 V3,140000,2473,First,2,150,Yamaha
144,KTM Duke 200cc,130000,9221,First,3,200,KTM
145,Bajaj Pulsar NS,46000,37128,First,7,200,Bajaj
146,Hero Super Splendor,30000,16166,First,6,125,Hero
147,Bajaj Dominar 400,116000,11716,First,3,400,Bajaj
148,Royal Enfield Classic,130000,8419,First,3,350,Royal Enfield
149,Royal Enfield Classic,98000,13459,First,5,350,Royal Enfield
150,Royal Enfield Classic,85000,14704,First,6,350,Royal Enfield
151,Bajaj V15 150cc,50000,9200,First,4,150,Bajaj
152,Royal Enfield Thunderbird,100000,30294,First,5,350,Royal Enfield
153,Royal Enfield Thunderbird,66000,19756,First,8,350,Royal Enfield
154,Honda X-Blade 160cc,80000,12000,First,2,160,Honda
155,Royal Enfield Classic,123600,7702,First,3,350,Royal Enfield
156,Suzuki Hayabusa 1300cc,950000,312,First,3,1300,Suzuki
157,Royal Enfield Classic,107000,17000,First,4,350,Royal Enfield
158,Ducati Monster 821,600000,16000,First,5,821,Ducati
