,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
0,Maruti Wagon,2010,72000,CNG,Manual,First,26.6,998,58.16,5,175000
1,Hyundai Creta,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,1250000
2,Honda Jazz,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,450000
3,Maruti Ertiga,2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,600000
4,Audi A4,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,1773999
5,Hyundai EON,2012,75000,LPG,Manual,First,21.1,814,55.2,5,235000
6,Nissan Micra,2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,350000
7,Toyota Innova,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,1750000
8,Volkswagen Vento,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,520000
9,Tata Indica,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5,195000
10,Maruti Ciaz,2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,994999
11,Honda City,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,449000
12,Maruti Swift,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5,560000
13,Land Rover,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,2700000
14,Mitsubishi Pajero,2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,1500000
15,Honda Amaze,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,540000
16,Maruti Swift,2017,25000,Diesel,Manual,First,28.4,1248,74.0,5,599000
17,Renault Duster,2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,634000
18,Mercedes-Benz New,2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,2800000
19,BMW 3,2014,32982,Diesel,Automatic,First,22.69,1995,190.0,5,1855000
20,Maruti S,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,825000
21,Audi A6,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,2350000
22,Hyundai i20,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5,187000
23,Volkswagen Vento,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,285000
24,Honda City,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,425000
25,Nissan Micra,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,425000
26,Maruti Alto,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,275000
27,Honda WRV,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,990000
28,Renault Duster,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,775000
29,Toyota Corolla,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,675000
30,Mahindra Ssangyong,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7,1250000
31,Audi A6,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,1150000
32,Volkswagen Vento,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,698000
33,Maruti Wagon,2009,83816,Petrol,Manual,Second,14.0,1061,64.0,5,185000
34,Maruti Vitara,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,863000
35,Mahindra KUV,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5,484999
36,Mercedes-Benz M-Class,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,2800000
37,Volkswagen Polo,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,500000
38,Maruti Alto,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,125000
39,Tata Nano,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,153000
40,Mahindra KUV,2017,22033,Diesel,Manual,First,25.32,1198,77.0,6,558000
41,Hyundai i20,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,474000
42,Hyundai Elantra,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,885000
