,size,total_sqft,bath,balcony,price,site_location
0,2.0,1056.0,2.0,1,3907000.0,Alandi Road
1,4.0,2447.5,4.5,3,12000000.0,Ambegaon Budruk
2,3.0,1440.0,2.0,3,6200000.0,Anandnagar
3,3.0,1521.0,3.0,1,9500000.0,Aundh
4,2.0,1200.0,2.0,1,5100000.0,Aundh Road
5,2.0,1170.0,2.0,1,3800000.0,Balaji Nagar
8,3.0,1310.0,3.0,1,6325000.0,Bhandarkar Road
10,3.0,1800.0,2.0,2,7000000.0,Bibvewadi
11,4.0,2447.5,4.5,3,21400000.0,Bopodi
12,2.0,1000.0,2.0,1,3800000.0,Budhwar Peth
13,2.0,1100.0,2.0,2,4000000.0,Bund Garden
14,3.0,2250.0,3.0,2,14800000.0,Camp
15,2.0,1175.0,2.0,2,7350000.0,Chandan Nagar
16,3.0,1180.0,3.0,2,4800000.0,Dapodi
17,3.0,1540.0,3.0,3,6000000.0,Deccan Gymkhana
18,3.0,2447.5,4.0,2,21400000.0,Dehu Road
19,2.0,1100.0,2.0,2,4800000.0,Dhankawadi
20,1.5,830.5,1.5,1,1600000.0,Dhayari Phata
21,3.0,1755.0,3.0,1,12200000.0,Dhole Patil
22,4.0,2447.5,4.5,2,21400000.0,Erandwane
23,3.0,1767.0,3.0,1,10300000.0,Fatima Nagar
24,1.5,830.5,1.5,0,2525000.0,Fergusson College
25,3.0,1250.0,3.0,2,5600000.0,Ganesh Peth
26,2.0,830.5,1.5,1,2310000.0,Ganeshkhind
27,3.0,1610.0,3.0,2,8100000.0,Ghorpade Peth
29,3.0,1025.0,2.0,1,4700000.0,Gokhale Nagar
30,4.0,2100.0,4.0,0,18600000.0,Gultekdi
31,3.0,1075.0,2.0,1,3500000.0,Guruwar peth
32,3.0,1760.0,2.0,2,12300000.0,Hadapsar
33,3.0,1693.0,3.0,3,5739000.0,Hadapsar Industrial
35,2.0,830.5,2.0,1,3600000.0,Jangali Maharaj
36,2.0,1070.0,2.0,1,4550000.0,Kalyani Nagar
37,3.0,1724.0,3.0,2,12500000.0,Karve Nagar
38,3.0,1290.0,2.0,2,5612000.0,Karve Road
39,2.0,1143.0,2.0,2,4500000.0,Kasba Peth
41,3.0,1254.0,3.0,2,3800000.0,Khadaki
42,1.5,830.5,1.5,0,3800000.0,Khadki
43,1.5,830.5,1.5,0,4800000.0,Kharadi
46,2.0,970.0,2.0,0,3300000.0,Kondhwa Khurd
47,2.0,1459.0,2.0,1,9482000.0,Koregaon Park
48,2.0,830.5,1.5,1,13000000.0,Kothrud
49,2.0,869.0,2.0,1,3600000.0,Law College
50,2.0,1270.0,2.0,1,5000000.0,Laxmi Road
51,3.0,1670.0,3.0,1,9900000.0,Lulla Nagar
52,3.0,2010.0,3.0,2,9100000.0,Mahatma Gandhi
53,2.0,1185.0,2.0,2,7500000.0,Mangalwar peth
54,3.0,1600.0,2.0,3,7500000.0,Manik Bagh
55,2.0,1200.0,2.0,2,4400000.0,Market yard
57,2.0,1500.0,2.0,2,18500000.0,Mukund Nagar
58,4.5,1407.0,4.0,1,15000000.0,Mundhawa
59,2.0,840.0,2.0,2,4500000.0,Nagar Road
60,3.0,2447.5,3.0,2,21400000.0,Nana Peth
61,2.0,845.0,2.0,1,5500000.0,Narayan Peth
62,4.0,2447.5,4.5,3,21400000.0,Narayangaon
63,2.0,1160.0,2.0,2,4400000.0,Navi Peth
64,4.5,2447.5,4.5,0,14000000.0,Padmavati
65,2.0,1100.0,2.0,1,6200000.0,Parvati Darshan
66,2.0,1140.0,2.0,3,4300000.0,Pashan
67,2.0,1220.0,2.0,1,5700000.0,Paud Road
68,4.5,1350.0,4.5,0,8500000.0,Pirangut
69,2.0,1005.0,2.0,1,3668000.0,Prabhat Road
70,3.0,830.5,3.0,2,10000000.0,Pune Railway
71,2.0,1358.0,2.0,1,8058000.0,Rasta Peth
72,3.0,1569.0,3.0,1,10100000.0,Raviwar Peth
73,2.0,1240.0,2.0,1,7000000.0,Sadashiv Peth
74,3.0,2089.0,3.0,2,14000000.0,Sahakar Nagar
75,2.0,1206.0,2.0,1,4823000.0,Salunke Vihar
76,2.0,1150.0,2.0,3,4000000.0,Sasson Road
77,3.0,2447.5,3.0,3,20500000.0,Satara Road
78,2.0,830.5,1.5,0,2200000.0,Senapati Bapat
79,4.5,2447.5,4.5,3,21400000.0,Shaniwar Peth
80,3.0,1660.0,2.0,2,10500000.0,Shivaji Nagar
82,2.0,1326.0,2.0,2,7800000.0,Sinhagad Road
83,3.0,1325.0,2.0,2,6080000.0,Somwar Peth
84,3.0,1499.0,4.5,2,10200000.0,Swargate
85,4.5,2447.5,4.5,2,21000000.0,Tilak Road
86,3.0,1665.0,3.0,2,8800000.0,Uruli Devachi
87,2.0,830.5,2.0,2,3700000.0,Vadgaon Budruk
88,2.0,1060.0,2.0,2,5806000.0,Wadgaon Sheri
89,4.5,830.5,4.5,3,16000000.0,Viman Nagar
90,2.0,1000.0,2.0,2,7000000.0,Vishrant Wadi
91,2.0,1000.0,2.0,1,2888000.0,Wagholi
92,3.0,1450.0,2.0,2,7000000.0,Wakadewadi
93,4.0,1200.0,4.0,2,15500000.0,Wanowrie
94,2.0,1296.0,2.0,3,8000000.0,Warje
95,3.0,1540.0,3.0,2,9000000.0,Yerawada
96,4.0,2447.5,4.0,1,21400000.0,Alandi Road
97,3.0,1330.0,2.0,1,4800000.0,Ambegaon Budruk
98,2.0,1200.0,2.0,1,6500000.0,Anandnagar
99,3.0,1200.0,3.0,1,9000000.0,Aundh
100,3.0,2447.5,3.0,3,13800000.0,Aundh Road
101,2.0,830.5,1.5,1,1700000.0,Balaji Nagar
102,3.0,2400.0,2.0,1,15000000.0,Baner
103,2.0,1007.0,2.0,2,4300000.0,Baner road
104,2.0,1200.0,2.0,2,5000000.0,Bhandarkar Road
105,2.0,966.0,2.0,2,4990000.0,Bhavani Peth
106,3.0,1630.0,2.0,1,9800000.0,Bibvewadi
107,3.0,1640.0,3.0,2,21400000.0,Bopodi
108,2.0,830.5,2.0,2,5568000.0,Budhwar Peth
109,2.0,1260.0,2.0,2,6678000.0,Bund Garden
110,3.0,1800.0,3.0,3,12000000.0,Camp
111,3.0,1413.0,2.0,2,7500000.0,Chandan Nagar
112,2.0,1116.0,2.0,1,5191000.0,Dapodi
113,3.0,1530.0,2.0,1,4590000.0,Deccan Gymkhana
114,4.0,2447.5,4.0,1,21400000.0,Dehu Road
