,size,total_sqft,bath,balcony,price,site_location
0,2,1056,2,1,3907000,Alandi Road
1,4,2600,5,3,12000000,Ambegaon Budruk
2,3,1440,2,3,6200000,Anandnagar
3,3,1521,3,1,9500000,Aundh
4,2,1200,2,1,5100000,Aundh Road
5,2,1170,2,1,3800000,Balaji Nagar
8,3,1310,3,1,6325000,Bhandarkar Road
10,3,1800,2,2,7000000,Bibvewadi
11,4,2785,5,3,29500000,Bopodi
12,2,1000,2,1,3800000,Budhwar Peth
13,2,1100,2,2,4000000,Bund Garden
14,3,2250,3,2,14800000,Camp
15,2,1175,2,2,7350000,Chandan Nagar
16,3,1180,3,2,4800000,Dapodi
17,3,1540,3,3,6000000,Deccan Gymkhana
18,3,2770,4,2,29000000,Dehu Road
19,2,1100,2,2,4800000,Dhankawadi
20,1,600,1,1,1500000,Dhayari Phata
21,3,1755,3,1,12200000,Dhole Patil
22,4,2800,5,2,38000000,Erandwane
23,3,1767,3,1,10300000,Fatima Nagar
24,1,510,1,0,2525000,Fergusson College
25,3,1250,3,2,5600000,Ganesh Peth
26,2,660,1,1,2310000,Ganeshkhind
27,3,1610,3,2,8100000,Ghorpade Peth
29,3,1025,2,1,4700000,Gokhale Nagar
30,4,2100,4,0,18600000,Gultekdi
31,3,1075,2,1,3500000,Guruwar peth
32,3,1760,2,2,12300000,Hadapsar
33,3,1693,3,3,5739000,Hadapsar Industrial
35,2,700,2,1,3600000,Jangali Maharaj
36,2,1070,2,1,4550000,Kalyani Nagar
37,3,1724,3,2,12500000,Karve Nagar
38,3,1290,2,2,5612000,Karve Road
39,2,1143,2,2,4500000,Kasba Peth
41,3,1254,3,2,3800000,Khadaki
42,1,600,1,0,3800000,Khadki
43,1,660,1,0,4800000,Kharadi
46,2,970,2,0,3300000,Kondhwa Khurd
47,2,1459,2,1,9482000,Koregaon Park
48,2,800,1,1,13000000,Kothrud
49,2,869,2,1,3600000,Law College
50,2,1270,2,1,5000000,Laxmi Road
51,3,1670,3,1,9900000,Lulla Nagar
52,3,2010,3,2,9100000,Mahatma Gandhi
53,2,1185,2,2,7500000,Mangalwar peth
54,3,1600,2,3,7500000,Manik Bagh
55,2,1200,2,2,4400000,Market yard
57,2,1500,2,2,18500000,Mukund Nagar
58,6,1407,4,1,15000000,Mundhawa
59,2,840,2,2,4500000,Nagar Road
60,3,4395,3,2,24000000,Nana Peth
61,2,845,2,1,5500000,Narayan Peth
62,4,5700,5,3,65000000,Narayangaon
63,2,1160,2,2,4400000,Navi Peth
64,8,3000,8,0,14000000,Padmavati
65,2,1100,2,1,6200000,Parvati Darshan
66,2,1140,2,3,4300000,Pashan
67,2,1220,2,1,5700000,Paud Road
68,8,1350,7,0,8500000,Pirangut
69,2,1005,2,1,3668000,Prabhat Road
70,3,500,3,2,10000000,Pune Railway
71,2,1358,2,1,8058000,Rasta Peth
72,3,1569,3,1,10100000,Raviwar Peth
73,2,1240,2,1,7000000,Sadashiv Peth
74,3,2089,3,2,14000000,Sahakar Nagar
75,2,1206,2,1,4823000,Salunke Vihar
76,2,1150,2,3,4000000,Sasson Road
77,3,2511,3,3,20500000,Satara Road
78,2,460,1,0,2200000,Senapati Bapat
79,6,4400,6,3,25000000,Shaniwar Peth
80,3,1660,2,2,10500000,Shivaji Nagar
82,2,1326,2,2,7800000,Sinhagad Road
83,3,1325,2,2,6080000,Somwar Peth
84,3,1499,5,2,10200000,Swargate
85,6,3000,7,2,21000000,Tilak Road
86,3,1665,3,2,8800000,Uruli Devachi
87,2,708,2,2,3700000,Vadgaon Budruk
88,2,1060,2,2,5806000,Wadgaon Sheri
89,6,710,6,3,16000000,Viman Nagar
90,2,1000,2,2,7000000,Vishrant Wadi
91,2,1000,2,1,2888000,Wagholi
92,3,1450,2,2,7000000,Wakadewadi
93,4,1200,4,2,15500000,Wanowrie
94,2,1296,2,3,8000000,Warje
95,3,1540,3,2,9000000,Yerawada
96,4,2894,4,1,24500000,Alandi Road
97,3,1330,2,1,4800000,Ambegaon Budruk
98,2,1200,2,1,6500000,Anandnagar
99,3,1200,3,1,9000000,Aundh
100,3,2502,3,3,13800000,Aundh Road
101,2,650,1,1,1700000,Balaji Nagar
102,3,2400,2,1,15000000,Baner
103,2,1007,2,2,4300000,Baner road
104,2,1200,2,2,5000000,Bhandarkar Road
105,2,966,2,2,4990000,Bhavani Peth
106,3,1630,2,1,9800000,Bibvewadi
107,3,1640,3,2,22900000,Bopodi
108,2,782,2,2,5568000,Budhwar Peth
109,2,1260,2,2,6678000,Bund Garden
110,3,1800,3,3,12000000,Camp
111,3,1413,2,2,7500000,Chandan Nagar
112,2,1116,2,1,5191000,Dapodi
113,3,1530,2,1,4590000,Deccan Gymkhana
114,4,3700,4,1,22500000,Dehu Road
115,3,2497,3,2,14000000,Dhankawadi
116,3,1540,2,3,6400000,Dhayari Phata
117,3,1436,3,1,7475000,Dhole Patil
118,2,1100,2,2,7500000,Erandwane
119,2,276,3,3,2300000,Fatima Nagar
120,3,1427,3,2,12000000,Fergusson College
121,3,2061,3,1,20000000,Ganesh Peth
122,4,3067,4,0,47700000,Ganeshkhind
123,4,2650,4,2,15000000,Ghorpade Peth
124,3,1282,2,2,6852000,Ghorpadi
125,2,1050,2,1,3400000,Gokhale Nagar
126,3,1600,3,2,6500000,Gultekdi
127,2,945,2,1,5400000,Guruwar peth
128,2,1500,2,1,7800000,Hadapsar
129,7,950,7,0,11500000,Hadapsar Industrial
130,3,1870,3,3,11000000,Hingne Khurd
131,3,1600,3,1,7500000,Jangali Maharaj
132,2,880,1,1,1650000,Kalyani Nagar
133,4,1200,4,0,21000000,Karve Nagar
134,3,1535,3,2,8300000,Karve Road
135,2,950,2,1,5700000,Kasba Peth
136,2,1360,2,1,6500000,Katraj
137,2,1042,2,0,5400500,Khadaki
138,3,1280,3,1,5040000,Khadki
139,3,1260,2,2,8505000,Kharadi
141,5,3050,5,1,21300000,Kondhwa Budruk
143,2,1000,2,1,6000000,Koregaon Park
144,2,1167,2,1,4376000,Kothrud
145,7,4000,7,2,22500000,Law College
147,2,890,2,1,3500000,Lulla Nagar
148,3,1612,3,3,4674000,Mahatma Gandhi
150,3,1710,4,2,9131000,Manik Bagh
151,2,957,2,1,5800000,Market yard
152,3,1250,2,3,4400000,Model colony
154,2,1125,2,2,5000000,Mundhawa
155,2,1020,2,1,3060000,Nagar Road
156,2,1200,2,2,5000000,Nana Peth
157,3,1735,3,3,13500000,Narayan Peth
158,3,2050,3,1,14500000,Narayangaon
