,Name,Processor,RAM,Operating System,Storage,Display,Price
0,Lenovo Ideapad S145,Intel Core i5,8,64,1,39.62,43990
1,Lenovo IdeaPad Core,Intel Core i3,8,64,256,35.56,43990
2,HP Pentium Quad,Intel Pentium Quad,8,64,256,35.56,31490
3,HP 14s Core,Intel Core i3,8,64,256,35.56,40990
4,Lenovo IdeaPad 3,Intel Core i5,8,64,1,39.62,42990
5,HP Pavilion Gaming,AMD Ryzen 5,8,64,1,39.62,50990
6,acer Predator Helios,Intel Core i7,16,64,1,39.62,116990
7,ASUS VivoBook 15,Intel Core i3,8,64,1,39.62,37990
8,HP 15s Ryzen,AMD Ryzen 3,8,64,1,39.62,36990
9,ASUS Vivobook Gaming,Intel Core i5,8,64,512,39.62,58990
10,MSI GL65 Leopard,Intel Core i7,16,64,1,39.62,109990
11,HP 14s Core,Intel Core i3,8,64,512,39.62,47990
12,HP 15s Core,Intel Core i3,8,64,1,35.56,41990
13,Lenovo IdeaPad Core,Intel Core i5,8,64,512,39.62,62690
14,HP 15s Core,Intel Core i5,8,64,512,29.46,58990
15,acer Aspire 7,AMD Ryzen 5,8,64,512,39.62,51990
16,Lenovo IdeaPad Core,Intel Core i3,8,64,256,39.62,44990
17,ASUS Ryzen 3,AMD Ryzen 3,4,64,1,35.56,32990
18,Lenovo Legion Core,Intel Core i7,8,64,1,39.62,69990
19,HP 15s Ryzen,AMD Ryzen 3,8,64,512,39.62,41990
20,Lenovo IdeaPad Ryzen,AMD Ryzen 7,16,64,1,39.62,67990
21,HP 15s Core,Intel Core i3,8,64,1,39.62,43980
22,ASUS VivoBook 15,Intel Core i5,8,64,512,39.62,52990
23,ASUS VivoBook Ultra,Intel Core i5,8,64,1,39.62,59990
24,Lenovo Ideapad S145,Intel Core i5,8,64,512,35.56,43990
25,acer Aspire 7,Intel Core i5,8,64,1,39.62,56990
26,Lenovo IdeaPad Core,Intel Core i3,4,64,256,39.62,35990
27,acer Predator Helios,Intel Core i5,16,64,512,33.78,116990
28,MSI GF63 Thin,Intel Core i5,8,64,512,39.62,56990
29,HP 14s Core,Intel Core i5,8,64,512,39.62,54990
30,ASUS VivoBook Ultra,Intel Core i3,8,64,256,35.56,62990
31,Lenovo IdeaPad Core,AMD Ryzen 5,8,64,1,35.56,43990
32,Lenovo IdeaPad Gaming,AMD Ryzen 5,8,64,512,35.56,63990
33,HP 15s Ryzen,Intel Core i3,8,64,1,39.62,48990
34,HP 15s Core,Intel Core i7,8,64,1,39.62,41490
35,MSI GL65 Leopard,Intel Core i3,16,64,512,39.62,109990
36,ASUS Core i3,Intel Core i5,4,64,512,39.62,38990
37,HP Pavilion Core,Intel Core i5,16,64,512,35.56,84990
38,Lenovo IdeaPad Core,AMD Ryzen 3,8,64,1,33.78,62690
39,Lenovo Ideapad S145,Intel Core i3,4,64,1,35.56,30990
40,ASUS Celeron Dual,Intel Core i3,4,64,512,39.62,23990
41,Lenovo IdeaPad Core,Intel Core i5,8,64,512,35.56,44990
42,ASUS VivoBook Ultra,AMD Ryzen 3,8,64,1,39.62,59990
43,HP 15s Ryzen,Intel Core i5,4,64,512,35.56,32990
44,HP Pavilion Core,Intel Core i7,16,64,1,35.56,65990
45,acer Predator Helios,Intel Core i5,16,64,512,39.62,116990
46,ASUS TUF Dash,AMD Ryzen 5,16,64,512,33.78,94990
47,MSI Bravo 15,Intel Core i5,16,64,512,39.62,72990
48,ASUS ROG Strix,Intel Core i3,8,64,256,39.62,71990
49,Lenovo IdeaPad Core,AMD Ryzen 3,8,64,256,39.62,43990
50,HP 15s Ryzen,Intel Core i7,8,64,1,39.62,37990
51,MSI GF63 Thin,AMD Ryzen 7,8,64,1,35.56,72990
52,HP Pavilion Gaming,Intel Core i7,16,64,1,39.62,80990
53,MSI GP65 Leopard,Intel Core i5,16,64,512,39.62,104990
54,HP Envy x360,Intel Core i5,8,64,1,39.62,89179
55,MSI GF63 Thin,Intel Core i5,8,64,512,15.6,51990
56,ASUS VivoBook Ultra,Intel Core i7,8,64,1,39.62,62990
57,acer Aspire 7,Intel Core i5,8,64,1,15.6,59990
58,Lenovo IdeaPad Gaming,Intel Core i3,8,64,512,39.62,65990
59,Lenovo IdeaPad Core,AMD Ryzen 5,8,64,256,35.56,62690
60,HP Pavilion x360,Intel Core i5,8,64,512,39.62,55900
61,HP Core i5,AMD Ryzen 7,8,64,512,33.78,56490
62,Lenovo IdeaPad Core,AMD Ryzen 5,8,64,512,39.62,44990
63,Lenovo IdeaPad Gaming,AMD Ryzen 5,8,64,512,39.62,67990
64,ASUS ROG Strix,Intel Core i5,16,64,512,35.56,92990
65,MSI Modern 14,Intel Core i3,8,64,256,35.56,51990
66,Avita Liber Core,Intel Core i5,8,64,512,35.56,40890
67,ASUS Core i3,Intel Core i5,4,64,512,39.62,38990
68,Lenovo Ideapad S145,Intel Core i3,8,64,1,39.62,43990
69,ASUS ROG Strix,Intel Core i7,8,64,256,35.56,77990
70,DELL Inspiron Core,AMD Ryzen 5,8,64,1,35.56,43483
71,acer Predator Helios,AMD Ryzen 9,16,64,1,33.78,116990
72,Lenovo Legion Y540,Intel Core i3,8,64,512,33.02,69989
73,ASUS VivoBook 14,Intel Core i3,8,64,1,39.62,49990
74,ASUS ROG Strix,Intel Core i3,16,64,256,39.62,148990
75,Lenovo IdeaPad Core,Intel Core i5,8,64,512,33.78,43990
76,Lenovo IdeaPad Core,Intel Core i7,8,64,512,39.62,44990
77,HP Core i3,Intel Core i5,8,64,1,39.62,45490
78,Lenovo IdeaPad Gaming,AMD Ryzen 7,8,64,1,39.62,63990
79,MSI GL65 Leopard,Intel Core i3,16,64,1,35.56,109990
80,DELL Inspiron Core,AMD Ryzen 7,8,64,512,39.62,68409
81,ASUS VivoBook 14,AMD Ryzen 7,8,64,256,35.56,59990
82,ASUS Core i3,AMD Ryzen 5,8,64,512,35.56,41890
83,Lenovo Ideapad 5,AMD Ryzen 9,8,64,512,39.62,60990
84,ASUS VivoBook 14,Intel Core i5,8,64,1,39.62,59990
85,HP 14s Ryzen,Intel Core i7,8,64,1,39.62,52990
86,Lenovo Ideapad S145,Intel Core i7,8,64,512,39.62,43990
87,Lenovo Thinkpad E14,AMD Ryzen 7,4,64,1,39.62,40990
88,acer Predator Core,Intel Core i3,16,64,1,35.56,154990
89,acer Predator Helios,AMD Ryzen 5,16,64,1,35.56,116990
