,Brand,Product Name,RAM,Internal storage,Battery capacity (mAh),Rear camera,Front camera,Screen size (inches),Price in India
0,Vivo,Vivo V11 Pro,6,64,3400,12.0,25.0,6.41,28990
1,Vivo,Vivo V11 Pro,6,64,3400,12.0,25.0,6.41,22654
2,Vivo,Vivo V11 Pro,6,64,3400,12.0,25.0,6.41,23990
3,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,11290
4,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,12900
5,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,14999
6,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,11399
7,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,11269
8,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,14000
9,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,12999
10,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,11999
11,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,12499
12,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,11990
13,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,10990
14,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,13349
15,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,8999
16,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,9190
17,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,7900
18,Xiaomi,Xiaomi Redmi 6,3,32,4000,12.0,5.0,5.84,8820
19,Xiaomi,Redmi Note 5,4,64,4000,12.0,20.0,5.99,16999
20,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,8499
21,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,8999
22,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,8990
23,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,7899
24,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,7800
25,Xiaomi,Redmi 6 (3GB,3,32,3000,12.0,5.0,5.45,10499
26,Xiaomi,Redmi Y1 (3GB,2,16,3080,13.0,16.0,5.5,8699
27,Realme,Realme 2 Pro,4,64,3500,16.0,16.0,6.3,13490
28,Realme,Realme 2 Pro,4,64,3500,16.0,16.0,6.3,14990
29,Realme,Realme 2 Pro,4,64,3500,16.0,16.0,6.3,14999
30,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,6450
31,Xiaomi,Redmi Y1 (3GB,2,16,3080,13.0,16.0,5.5,8999
32,Realme,Realme 3 Pro,4,64,4045,16.0,25.0,6.3,16999
33,Xiaomi,Redmi Y1 (4GB,2,16,3080,13.0,16.0,5.5,9500
34,Xiaomi,Redmi Y1 (4GB,2,16,3080,13.0,16.0,5.5,9999
35,Vivo,Vivo V5 (32GB),4,32,3000,13.0,20.0,5.5,17980
36,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,37900
37,Samsung,Samsung Galaxy Note,6,64,3300,12.0,8.0,6.3,59900
38,Huawei,Huawei Mate 20,6,128,4200,40.0,24.0,6.39,31999
39,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,31607
40,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,41990
41,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,45999
42,Samsung,Samsung Galaxy Note,6,64,3300,12.0,8.0,6.3,39990
43,Samsung,Samsung Galaxy Note,6,64,3300,12.0,8.0,6.3,35990
44,Realme,Realme 2 Pro,4,64,3500,16.0,16.0,6.3,16999
45,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,47990
46,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,30500
47,Realme,Realme 3 Pro,4,64,4045,16.0,25.0,6.3,17999
48,Vivo,Vivo V5 (32GB),4,32,3000,13.0,20.0,5.5,16800
49,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,5990
50,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,5999
51,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,5742
52,Xiaomi,Redmi Note 8,6,64,4500,64.0,20.0,6.53,15999
53,Realme,Realme 3 Pro,4,64,4045,16.0,25.0,6.3,12999
54,Xiaomi,Redmi Note 8,6,64,4500,64.0,20.0,6.53,16999
55,Realme,Realme 3 Pro,4,64,4045,16.0,25.0,6.3,14999
56,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,48999
57,Realme,Realme 3 Pro,4,64,4045,16.0,25.0,6.3,15999
58,Xiaomi,Redmi Note 8,6,64,4500,64.0,20.0,6.53,19485
59,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,6999
60,Xiaomi,Redmi Note 8,6,64,4500,64.0,20.0,6.53,18999
61,Xiaomi,Redmi Note 8,6,64,4500,64.0,20.0,6.53,17999
62,Xiaomi,Redmi Y1 (3GB,2,16,3080,13.0,16.0,5.5,9999
63,Realme,Realme 2 Pro,4,64,3500,16.0,16.0,6.3,18000
64,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,7399
65,Xiaomi,Xiaomi Redmi 6A,2,16,3000,13.0,5.0,5.45,5599
66,Samsung,Samsung Galaxy S9,4,64,3000,12.0,8.0,5.8,49999
