id,text
1,"Deposit button is not working, tried multiple times but nothing happens"
2,"Payment was marked as failed but the amount got deducted from my bank"
3,"Web trader is not loading at all, stuck on loading screen"
4,"Unable to update my personal details, it keeps showing an error"
5,"Tried withdrawing funds but request is not getting submitted"
6,"My account got locked suddenly without any reason"
7,"Support is not responding for the last two days"
8,"Payment gateway timed out and money is still not refunded"
9,"App crashes every time I try to place a trade"
10,"Getting error while uploading documents for KYC verification"
11,"Funds transferred but balance is not updated in my account"
12,"Trade execution is very slow and prices are not updating"
13,"Unable to login even after entering correct credentials"
14,"Received confirmation email but transaction failed on dashboard"
15,"Facing frequent disconnections on the web trader platform"
16,"Deposit is pending since yesterday, no update yet"
17,"System shows insufficient balance even though I have funds"
18,"Unable to reset my password, reset link is not working"
19,"Placed an order but it got stuck in pending state"
20,"Support agent closed my ticket without resolving the issue"
21,"Getting blank screen when opening the trading dashboard"
22,"Money deducted but deposit not reflected, this is very frustrating"
23,"Unable to change my registered mobile number"
24,"Trade got executed at wrong price, please check"
25,"Verification status is stuck at pending for a week"
26,"Platform performance is very bad today"
27,"Charts are not loading properly on the web trader"
28,"Unable to download transaction history statement"
29,"Facing repeated errors while adding bank account details"
30,"Account verification failed without any clear reason"
31,"Everything is working fine now, thanks for the quick fix"
32,"Support resolved my issue quickly, appreciate the help"
33,"Deposit worked smoothly this time, no issues"
34,"Trading experience has improved a lot, good job"
35,"Service is okay but sometimes the platform feels slow"
36,"The app is usable but could be more stable"
37,"Not satisfied with the response time from support"
38,"Issue is partially resolved but still facing some problems"
39,"My issue got resolved after update, thanks"
40,"Overall experience is decent but needs improvement"
